index,year,month,hour,txn_type,txn_status,error_code,remitter_bank,beneficiary_bank,payer_handle,payer_app,payee_handle,payee_app,payee_requested_amount,payee_settlement_amount,difference_amount,payer_state,payee_state,cred_type,cred_subtype,time_of_day
107,2023,1,0,Reversal,Successful,0,Kotak Mahindra Bank,Utkarsh Small Finance Bank,CSBPAY,CSB UPI,ESAF,ESAF,72426,75927,-3501,Telangana,Kerala,Credit Card,Secured Credit Card,LateNight
130,2021,12,0,Reversal,Successful,0,Indian Bank,Equitas Small Finance Bank,DB,BHIM Dena UPI,FREECHARGE,Freecharge,74204,74204,0,Goa,Uttar Pradesh,Home Loan,Fixed-Rate Mortgage,LateNight
144,2022,8,0,Reversal,Successful,0,Shamrao Vithal Co-operative Bank,Syndicate Bank,WAHDFCBANK,WhatsApp Pay,KAYPAY,BHIM KOTAK Pay,40996,40996,0,Odisha,Tamil Nadu,Credit Card,Rewards Credit Card,LateNight
155,2021,12,0,Reversal,Successful,0,Indian Bank,Equitas Small Finance Bank,DB,BHIM Dena UPI,FREECHARGE,Freecharge,74204,74204,0,Goa,Uttar Pradesh,Home Loan,Fixed-Rate Mortgage,LateNight
180,2020,12,0,Reversal,Reversed,U94,Madhya Bihar Gramin Bank,Karnataka Bank,FEDERAL,BHIM LOTZA UPI Payments APP(Federal Bank),AUBANK,BHIM AUPay(AU Small Finance Bank),80242,80242,0,Andhra Pradesh,Jharkhand,Overdraft,Personal Overdraft,LateNight
211,2020,12,0,Reversal,Reversed,U94,Madhya Bihar Gramin Bank,Karnataka Bank,FEDERAL,BHIM LOTZA UPI Payments APP(Federal Bank),AUBANK,BHIM AUPay(AU Small Finance Bank),80242,80242,0,Andhra Pradesh,Jharkhand,Overdraft,Personal Overdraft,LateNight
238,2020,12,0,Reversal,Reversed,U94,Madhya Bihar Gramin Bank,Karnataka Bank,FEDERAL,BHIM LOTZA UPI Payments APP(Federal Bank),AUBANK,BHIM AUPay(AU Small Finance Bank),80242,80242,0,Andhra Pradesh,Jharkhand,Overdraft,Personal Overdraft,LateNight
261,2023,11,0,Reversal,Successful,0,Utkarsh Small Finance Bank,Kotak Mahindra Bank,POCKETS,ICICI Pockets,TJSB,Tranzapp ?UPI(TJSB),47818,47818,0,Haryana,Jammu and Kashmir,Personal Loan,Secured Personal Loan,LateNight
275,2023,1,0,Reversal,Successful,0,Ujjivan Small Finance Bank,Suryoday Small Finance Bank,EQUITAS,Equitas UPI,CNRB,BHIM Canara- eMPower,1704,1704,0,Rajasthan,Kerala,Credit Card,Balance Transfer Credit Card,LateNight
291,2023,11,0,Reversal,Successful,0,Utkarsh Small Finance Bank,Kotak Mahindra Bank,POCKETS,ICICI Pockets,TJSB,Tranzapp ?UPI(TJSB),47818,65167,-17349,Haryana,Jammu and Kashmir,Personal Loan,Secured Personal Loan,LateNight
294,2023,1,0,Reversal,Successful,0,Ujjivan Small Finance Bank,Suryoday Small Finance Bank,EQUITAS,Equitas UPI,CNRB,BHIM Canara- eMPower,1704,1783,-79,Rajasthan,Kerala,Credit Card,Balance Transfer Credit Card,LateNight
313,2023,1,0,Reversal,Successful,0,Ujjivan Small Finance Bank,Suryoday Small Finance Bank,EQUITAS,Equitas UPI,CNRB,BHIM Canara- eMPower,1704,1783,-79,Rajasthan,Kerala,Credit Card,Balance Transfer Credit Card,LateNight
317,2023,11,0,Reversal,Successful,0,Utkarsh Small Finance Bank,Kotak Mahindra Bank,POCKETS,ICICI Pockets,TJSB,Tranzapp ?UPI(TJSB),47818,65167,-17349,Haryana,Jammu and Kashmir,Personal Loan,Secured Personal Loan,LateNight
321,2020,5,0,Reversal,Successful,0,United Bank of India,Bank of Maharashtra,WASBI,WhatsApp Pay,DNSBANK,DNS Pay (Dombivli Nagarik Sahakari Bank Ltd),75356,75356,0,Andhra Pradesh,Odisha,Overdraft,Business Overdraft,LateNight
329,2022,1,0,Reversal,Successful,0,Indian Bank,Punjab National Bank (PNB),FBPE,BHIM LOTZA UPI Payments APP(Federal Bank),AIRTEL,My Airtel -Online recharge; Pay Bill ; Wallet; UPI,43418,43418,0,Punjab,Madhya Pradesh,Home Loan,Fixed-Rate Mortgage,LateNight
356,2022,1,0,Reversal,Successful,0,Indian Bank,Punjab National Bank (PNB),FBPE,BHIM LOTZA UPI Payments APP(Federal Bank),AIRTEL,My Airtel -Online recharge; Pay Bill ; Wallet; UPI,43418,43418,0,Punjab,Madhya Pradesh,Home Loan,Fixed-Rate Mortgage,LateNight
362,2020,5,0,Reversal,Successful,0,United Bank of India,Bank of Maharashtra,WASBI,WhatsApp Pay,DNSBANK,DNS Pay (Dombivli Nagarik Sahakari Bank Ltd),75356,75356,0,Andhra Pradesh,Odisha,Overdraft,Business Overdraft,LateNight
377,2022,1,0,Reversal,Successful,0,Indian Bank,Punjab National Bank (PNB),FBPE,BHIM LOTZA UPI Payments APP(Federal Bank),AIRTEL,My Airtel -Online recharge; Pay Bill ; Wallet; UPI,43418,43418,0,Punjab,Madhya Pradesh,Home Loan,Fixed-Rate Mortgage,LateNight
383,2020,5,0,Reversal,Successful,0,United Bank of India,Bank of Maharashtra,WASBI,WhatsApp Pay,DNSBANK,DNS Pay (Dombivli Nagarik Sahakari Bank Ltd),75356,75356,0,Andhra Pradesh,Odisha,Overdraft,Business Overdraft,LateNight
392,2022,11,0,Reversal,Successful,0,Allahabad Bank,IDBI Bank,BANDHAN,Bandhan Bank UPI,ALLBANK,BHIM Allbank UPI(Allahabad Bank),31022,31022,0,Jharkhand,Odisha,Home Loan,Fixed-Rate Mortgage,LateNight
437,2022,11,0,Reversal,Successful,0,Allahabad Bank,IDBI Bank,BANDHAN,Bandhan Bank UPI,ALLBANK,BHIM Allbank UPI(Allahabad Bank),31022,40328,-9306,Jharkhand,Odisha,Home Loan,Fixed-Rate Mortgage,LateNight
462,2022,11,0,Reversal,Successful,0,Allahabad Bank,IDBI Bank,BANDHAN,Bandhan Bank UPI,ALLBANK,BHIM Allbank UPI(Allahabad Bank),31022,40328,-9306,Jharkhand,Odisha,Home Loan,Fixed-Rate Mortgage,LateNight
471,2022,11,0,Reversal,Successful,0,Dhanlaxmi Bank,Punjab National Bank (PNB),PAYZAPP,HDFC PayZapp,AXISBANK,BHIM Axis Pay UPI App,79620,79620,0,Maharashtra,Haryana,Personal Loan,Secured Personal Loan,LateNight
481,2019,8,0,Reversal,Successful,0,DCB Bank (Development Credit Bank),Central Bank of India,UBOI,BHIM Union Bank UPI App,YBL,PhonePe,51592,51592,0,Punjab,Kerala,Credit Card,Secured Credit Card,LateNight
485,2023,2,0,Reversal,Successful,0,Paschim Banga Gramin Bank,ICICI Bank,WAHDFCBANK,WhatsApp Pay,IOB,BHIM IOB UPI,50204,50204,0,Rajasthan,Uttar Pradesh,Debit Card,Standard Debit Card,LateNight
494,2019,12,0,Reversal,Successful,0,South Indian Bank,Ujjivan Small Finance Bank,SCB,Standard Chartered UPI,OKAXIS,Google Pay,15616,15616,0,Odisha,Goa,Personal Loan,Unsecured Personal Loan,LateNight
496,2023,9,0,Reversal,Successful,0,Suryoday Small Finance Bank,Syndicate Bank,CITIBANK,CITI Corporate (Merchant Acquiring Bank),MYICICI,MI Pay,9770,9770,0,Tamil Nadu,Kerala,Personal Loan,Unsecured Personal Loan,LateNight
516,2022,11,0,Reversal,Successful,0,Dhanlaxmi Bank,Punjab National Bank (PNB),PAYZAPP,HDFC PayZapp,AXISBANK,BHIM Axis Pay UPI App,79620,103506,-23886,Maharashtra,Haryana,Personal Loan,Secured Personal Loan,LateNight
523,2019,12,0,Reversal,Successful,0,South Indian Bank,Ujjivan Small Finance Bank,SCB,Standard Chartered UPI,OKAXIS,Google Pay,15616,15616,0,Odisha,Goa,Personal Loan,Unsecured Personal Loan,LateNight
527,2023,9,0,Reversal,Successful,0,Suryoday Small Finance Bank,Syndicate Bank,CITIBANK,CITI Corporate (Merchant Acquiring Bank),MYICICI,MI Pay,9770,10239,-469,Tamil Nadu,Kerala,Personal Loan,Unsecured Personal Loan,LateNight
530,2019,8,0,Reversal,Successful,0,DCB Bank (Development Credit Bank),Central Bank of India,UBOI,BHIM Union Bank UPI App,YBL,PhonePe,51592,51592,0,Punjab,Kerala,Credit Card,Secured Credit Card,LateNight
531,2023,2,0,Reversal,Successful,0,Paschim Banga Gramin Bank,ICICI Bank,WAHDFCBANK,WhatsApp Pay,IOB,BHIM IOB UPI,50204,52628,-2424,Rajasthan,Uttar Pradesh,Debit Card,Standard Debit Card,LateNight
548,2022,11,0,Reversal,Successful,0,Dhanlaxmi Bank,Punjab National Bank (PNB),PAYZAPP,HDFC PayZapp,AXISBANK,BHIM Axis Pay UPI App,79620,103506,-23886,Maharashtra,Haryana,Personal Loan,Secured Personal Loan,LateNight
551,2023,2,0,Reversal,Successful,0,Paschim Banga Gramin Bank,ICICI Bank,WAHDFCBANK,WhatsApp Pay,IOB,BHIM IOB UPI,50204,52628,-2424,Rajasthan,Uttar Pradesh,Debit Card,Standard Debit Card,LateNight
553,2019,8,0,Reversal,Successful,0,DCB Bank (Development Credit Bank),Central Bank of India,UBOI,BHIM Union Bank UPI App,YBL,PhonePe,51592,51592,0,Punjab,Kerala,Credit Card,Secured Credit Card,LateNight
557,2023,9,0,Reversal,Successful,0,Suryoday Small Finance Bank,Syndicate Bank,CITIBANK,CITI Corporate (Merchant Acquiring Bank),MYICICI,MI Pay,9770,10239,-469,Tamil Nadu,Kerala,Personal Loan,Unsecured Personal Loan,LateNight
560,2019,12,0,Reversal,Successful,0,South Indian Bank,Ujjivan Small Finance Bank,SCB,Standard Chartered UPI,OKAXIS,Google Pay,15616,15616,0,Odisha,Goa,Personal Loan,Unsecured Personal Loan,LateNight
566,2023,7,0,Reversal,Successful,0,Axis Bank,Indian Bank,TIMECOSMOS,TIMECOSMOS,WAAXIS,WhatsApp Pay,80482,80482,0,Odisha,Haryana,Personal Loan,Unsecured Personal Loan,LateNight
568,2022,5,0,Reversal,Successful,0,Vijaya Bank,State Bank of India (SBI),IBL,PhonePe,UCOBANK,BHIM UCO UPI,42110,42110,0,Jammu and Kashmir,West Bengal,Line of Credit,Personal Line of Credit,LateNight
587,2020,8,0,Reversal,Successful,0,Allahabad Bank,Union Bank of India,ABFSPAY,Bajaj Finserv,KBL,BHIM KBL UPI(Karnataka Bank),55218,55218,0,Haryana,Goa,Line of Credit,Personal Line of Credit,LateNight
594,2022,11,0,Reversal,Reversed,U30,Bank of Baroda,Saraswat Cooperative Bank,SBMBANK,SBMBANK,UCOBANK,BHIM UCO UPI,82708,82708,0,Odisha,Uttar Pradesh,Credit Card,Rewards Credit Card,LateNight
598,2022,11,0,Reversal,Reversed,U30,Bank of Baroda,Saraswat Cooperative Bank,SBMBANK,SBMBANK,UCOBANK,BHIM UCO UPI,82708,107520,-24812,Odisha,Uttar Pradesh,Credit Card,Rewards Credit Card,LateNight
609,2023,7,0,Reversal,Successful,0,Axis Bank,Indian Bank,TIMECOSMOS,TIMECOSMOS,WAAXIS,WhatsApp Pay,80482,84372,-3890,Odisha,Haryana,Personal Loan,Unsecured Personal Loan,LateNight
614,2022,5,0,Reversal,Successful,0,Vijaya Bank,State Bank of India (SBI),IBL,PhonePe,UCOBANK,BHIM UCO UPI,42110,42110,0,Jammu and Kashmir,West Bengal,Line of Credit,Personal Line of Credit,LateNight
615,2020,8,0,Reversal,Successful,0,Allahabad Bank,Union Bank of India,ABFSPAY,Bajaj Finserv,KBL,BHIM KBL UPI(Karnataka Bank),55218,55218,0,Haryana,Goa,Line of Credit,Personal Line of Credit,LateNight
630,2022,11,0,Reversal,Reversed,U30,Bank of Baroda,Saraswat Cooperative Bank,SBMBANK,SBMBANK,UCOBANK,BHIM UCO UPI,82708,107520,-24812,Odisha,Uttar Pradesh,Credit Card,Rewards Credit Card,LateNight
638,2023,7,0,Reversal,Successful,0,Axis Bank,Indian Bank,TIMECOSMOS,TIMECOSMOS,WAAXIS,WhatsApp Pay,80482,84372,-3890,Odisha,Haryana,Personal Loan,Unsecured Personal Loan,LateNight
643,2022,5,0,Reversal,Successful,0,Vijaya Bank,State Bank of India (SBI),IBL,PhonePe,UCOBANK,BHIM UCO UPI,42110,42110,0,Jammu and Kashmir,West Bengal,Line of Credit,Personal Line of Credit,LateNight
644,2020,8,0,Reversal,Successful,0,Allahabad Bank,Union Bank of India,ABFSPAY,Bajaj Finserv,KBL,BHIM KBL UPI(Karnataka Bank),55218,55218,0,Haryana,Goa,Line of Credit,Personal Line of Credit,LateNight
658,2023,7,0,Reversal,Successful,0,United Bank of India,Central Bank of India,KVB,BHIM KVB Pay,PAYZAPP,HDFC PayZapp,98070,98070,0,Maharashtra,Bihar,Auto Loan,Used Car Loan,LateNight
684,2023,7,0,Reversal,Successful,0,United Bank of India,Central Bank of India,KVB,BHIM KVB Pay,PAYZAPP,HDFC PayZapp,98070,102810,-4740,Maharashtra,Bihar,Auto Loan,Used Car Loan,LateNight
699,2023,7,0,Reversal,Successful,0,United Bank of India,Central Bank of India,KVB,BHIM KVB Pay,PAYZAPP,HDFC PayZapp,98070,102810,-4740,Maharashtra,Bihar,Auto Loan,Used Car Loan,LateNight
703,2021,6,0,Reversal,Successful,0,Bank of Maharashtra,Lakshmi Vilas Bank,IDFCFIRST,IDFC Bank BHIM UPI App,KVB,BHIM KVB Pay,36280,36280,0,Jharkhand,Gujarat,Overdraft,Business Overdraft,LateNight
709,2021,6,0,Reversal,Successful,0,Bank of Maharashtra,Lakshmi Vilas Bank,IDFCFIRST,IDFC Bank BHIM UPI App,KVB,BHIM KVB Pay,36280,36280,0,Jharkhand,Gujarat,Overdraft,Business Overdraft,LateNight
781,2021,6,0,Reversal,Successful,0,Bank of Maharashtra,Lakshmi Vilas Bank,IDFCFIRST,IDFC Bank BHIM UPI App,KVB,BHIM KVB Pay,36280,36280,0,Jharkhand,Gujarat,Overdraft,Business Overdraft,LateNight
822,2019,2,0,Reversal,Successful,0,Canara Bank,IDBI Bank,CBIN,BHIM Cent UPI(Central Bank of India),PINGPAY,Samsung Pay,74226,74226,0,Jammu and Kashmir,Gujarat,Home Loan,Adjustable-Rate Mortgage (ARM),LateNight
830,2019,2,0,Reversal,Successful,0,Canara Bank,IDBI Bank,CBIN,BHIM Cent UPI(Central Bank of India),PINGPAY,Samsung Pay,74226,53442,20784,Jammu and Kashmir,Gujarat,Home Loan,Adjustable-Rate Mortgage (ARM),LateNight
859,2019,2,0,Reversal,Successful,0,Canara Bank,IDBI Bank,CBIN,BHIM Cent UPI(Central Bank of India),PINGPAY,Samsung Pay,74226,53442,20784,Jammu and Kashmir,Gujarat,Home Loan,Adjustable-Rate Mortgage (ARM),LateNight
884,2021,5,0,Reversal,Successful,0,Tamilnad Mercantile Bank,Bank of India,OKHDFCBANK,Google Pay,IOB,BHIM IOB UPI,3494,3494,0,Odisha,Telangana,Debit Card,Standard Debit Card,LateNight
896,2021,5,0,Reversal,Successful,0,Tamilnad Mercantile Bank,Bank of India,OKHDFCBANK,Google Pay,IOB,BHIM IOB UPI,3494,3494,0,Odisha,Telangana,Debit Card,Standard Debit Card,LateNight
909,2022,7,0,Reversal,Successful,0,Corporation Bank,Shamrao Vithal Co-operative Bank,PSB,BHIM PSB(Punjab Sind Bank),FEDERAL,BHIM LOTZA UPI Payments APP(Federal Bank),8018,8018,0,Haryana,Kerala,Credit Card,Secured Credit Card,LateNight
916,2022,7,0,Reversal,Successful,0,Corporation Bank,Shamrao Vithal Co-operative Bank,PSB,BHIM PSB(Punjab Sind Bank),FEDERAL,BHIM LOTZA UPI Payments APP(Federal Bank),8018,8018,0,Haryana,Kerala,Credit Card,Secured Credit Card,LateNight
950,2022,7,0,Reversal,Successful,0,Corporation Bank,Shamrao Vithal Co-operative Bank,PSB,BHIM PSB(Punjab Sind Bank),FEDERAL,BHIM LOTZA UPI Payments APP(Federal Bank),8018,8018,0,Haryana,Kerala,Credit Card,Secured Credit Card,LateNight
954,2021,5,0,Reversal,Successful,0,Tamilnad Mercantile Bank,Bank of India,OKHDFCBANK,Google Pay,IOB,BHIM IOB UPI,3494,3494,0,Odisha,Telangana,Debit Card,Standard Debit Card,LateNight
997,2019,5,0,Reversal,Successful,0,Lakshmi Vilas Bank,Dhanlaxmi Bank,ABFSPAY,Bajaj Finserv,CITIBANK,CITI Corporate (Merchant Acquiring Bank),27692,27692,0,Odisha,Tamil Nadu,Personal Loan,Secured Personal Loan,LateNight
1003,2023,2,0,Reversal,Successful,0,State Bank of India (SBI),Union Bank of India,YAPL,AmazonPay,UTKARSHBANK,UTKARSHBANK,41562,41562,0,West Bengal,Punjab,Overdraft,Personal Overdraft,LateNight
1007,2023,2,0,Reversal,Successful,0,State Bank of India (SBI),Union Bank of India,YAPL,AmazonPay,UTKARSHBANK,UTKARSHBANK,41562,43568,-2006,West Bengal,Punjab,Overdraft,Personal Overdraft,LateNight
1012,2019,5,0,Reversal,Successful,0,Lakshmi Vilas Bank,Dhanlaxmi Bank,ABFSPAY,Bajaj Finserv,CITIBANK,CITI Corporate (Merchant Acquiring Bank),27692,27692,0,Odisha,Tamil Nadu,Personal Loan,Secured Personal Loan,LateNight
1037,2019,5,0,Reversal,Successful,0,Lakshmi Vilas Bank,Dhanlaxmi Bank,ABFSPAY,Bajaj Finserv,CITIBANK,CITI Corporate (Merchant Acquiring Bank),27692,27692,0,Odisha,Tamil Nadu,Personal Loan,Secured Personal Loan,LateNight
1042,2023,2,0,Reversal,Successful,0,State Bank of India (SBI),Union Bank of India,YAPL,AmazonPay,UTKARSHBANK,UTKARSHBANK,41562,43568,-2006,West Bengal,Punjab,Overdraft,Personal Overdraft,LateNight
1219,2023,1,0,Reversal,Successful,0,Equitas Small Finance Bank,Suryoday Small Finance Bank,KBL,BHIM KBL UPI(Karnataka Bank),MYICICI,MI Pay,43070,43070,0,Tamil Nadu,Kerala,Home Loan,Fixed-Rate Mortgage,LateNight
1220,2019,7,0,Reversal,Successful,0,South Indian Bank,Bharatiya Mahila Bank,WAAXIS,WhatsApp Pay,FBPE,BHIM LOTZA UPI Payments APP(Federal Bank),13378,13378,0,Kerala,Rajasthan,Personal Loan,Unsecured Personal Loan,LateNight
1242,2023,1,0,Reversal,Successful,0,Equitas Small Finance Bank,Suryoday Small Finance Bank,KBL,BHIM KBL UPI(Karnataka Bank),MYICICI,MI Pay,43070,45150,-2080,Tamil Nadu,Kerala,Home Loan,Fixed-Rate Mortgage,LateNight
1243,2019,7,0,Reversal,Successful,0,South Indian Bank,Bharatiya Mahila Bank,WAAXIS,WhatsApp Pay,FBPE,BHIM LOTZA UPI Payments APP(Federal Bank),13378,13378,0,Kerala,Rajasthan,Personal Loan,Unsecured Personal Loan,LateNight
1255,2019,7,0,Reversal,Successful,0,South Indian Bank,Bharatiya Mahila Bank,WAAXIS,WhatsApp Pay,FBPE,BHIM LOTZA UPI Payments APP(Federal Bank),13378,13378,0,Kerala,Rajasthan,Personal Loan,Unsecured Personal Loan,LateNight
1264,2023,1,0,Reversal,Successful,0,Equitas Small Finance Bank,Suryoday Small Finance Bank,KBL,BHIM KBL UPI(Karnataka Bank),MYICICI,MI Pay,43070,45150,-2080,Tamil Nadu,Kerala,Home Loan,Fixed-Rate Mortgage,LateNight
1395,2022,8,0,Reversal,Successful,0,ESAF Small Finance Bank,HDFC Bank,EAZYPAY,ICICI EasyPay,JANABANK,JANABANK,55418,55418,0,Odisha,Jharkhand,Auto Loan,Used Car Loan,LateNight
1402,2020,3,0,Reversal,Successful,0,Indian Bank,IndusInd Bank,FEDERAL,BHIM LOTZA UPI Payments APP(Federal Bank),DLB,BHIM DLB,50114,50114,0,Tamil Nadu,Odisha,Home Loan,Adjustable-Rate Mortgage (ARM),LateNight
1429,2020,3,0,Reversal,Successful,0,Indian Bank,IndusInd Bank,FEDERAL,BHIM LOTZA UPI Payments APP(Federal Bank),DLB,BHIM DLB,50114,50114,0,Tamil Nadu,Odisha,Home Loan,Adjustable-Rate Mortgage (ARM),LateNight
1438,2022,8,0,Reversal,Successful,0,ESAF Small Finance Bank,HDFC Bank,EAZYPAY,ICICI EasyPay,JANABANK,JANABANK,55418,55418,0,Odisha,Jharkhand,Auto Loan,Used Car Loan,LateNight
1457,2020,3,0,Reversal,Successful,0,Indian Bank,IndusInd Bank,FEDERAL,BHIM LOTZA UPI Payments APP(Federal Bank),DLB,BHIM DLB,50114,50114,0,Tamil Nadu,Odisha,Home Loan,Adjustable-Rate Mortgage (ARM),LateNight
1462,2022,8,0,Reversal,Successful,0,ESAF Small Finance Bank,HDFC Bank,EAZYPAY,ICICI EasyPay,JANABANK,JANABANK,55418,55418,0,Odisha,Jharkhand,Auto Loan,Used Car Loan,LateNight
1492,2019,7,0,Reversal,Successful,0,Baroda Gujarat Gramin Bank,Suryoday Small Finance Bank,EAZYPAY,ICICI EasyPay,INDIANBANK,BHIM Indian Bank UPI,2210,2210,0,Karnataka,Kerala,Auto Loan,Used Car Loan,LateNight
1495,2021,4,0,Reversal,Successful,0,DCB Bank (Development Credit Bank),Bank of India,CBIN,BHIM Cent UPI(Central Bank of India),KAYPAY,BHIM KOTAK Pay,12390,12390,0,Bihar,Goa,Credit Card,Balance Transfer Credit Card,LateNight
1497,2019,1,0,Reversal,Successful,0,Federal Bank,Allahabad Bank,AIRTEL,My Airtel -Online recharge; Pay Bill ; Wallet; UPI,PAYTM,Paytm UPI App,49810,49810,0,Maharashtra,Kerala,Home Loan,Adjustable-Rate Mortgage (ARM),LateNight
1503,2021,4,0,Reversal,Successful,0,DCB Bank (Development Credit Bank),Bank of India,CBIN,BHIM Cent UPI(Central Bank of India),KAYPAY,BHIM KOTAK Pay,12390,12390,0,Bihar,Goa,Credit Card,Balance Transfer Credit Card,LateNight
1504,2019,1,0,Reversal,Successful,0,Federal Bank,Allahabad Bank,AIRTEL,My Airtel -Online recharge; Pay Bill ; Wallet; UPI,PAYTM,Paytm UPI App,49810,49810,0,Maharashtra,Kerala,Home Loan,Adjustable-Rate Mortgage (ARM),LateNight
1511,2019,7,0,Reversal,Successful,0,Baroda Gujarat Gramin Bank,Suryoday Small Finance Bank,EAZYPAY,ICICI EasyPay,INDIANBANK,BHIM Indian Bank UPI,2210,2210,0,Karnataka,Kerala,Auto Loan,Used Car Loan,LateNight
1520,2019,7,0,Reversal,Successful,0,Baroda Gujarat Gramin Bank,Suryoday Small Finance Bank,EAZYPAY,ICICI EasyPay,INDIANBANK,BHIM Indian Bank UPI,2210,2210,0,Karnataka,Kerala,Auto Loan,Used Car Loan,LateNight
1536,2019,1,0,Reversal,Successful,0,Federal Bank,Allahabad Bank,AIRTEL,My Airtel -Online recharge; Pay Bill ; Wallet; UPI,PAYTM,Paytm UPI App,49810,49810,0,Maharashtra,Kerala,Home Loan,Adjustable-Rate Mortgage (ARM),LateNight
1537,2021,4,0,Reversal,Successful,0,DCB Bank (Development Credit Bank),Bank of India,CBIN,BHIM Cent UPI(Central Bank of India),KAYPAY,BHIM KOTAK Pay,12390,12390,0,Bihar,Goa,Credit Card,Balance Transfer Credit Card,LateNight
1566,2020,10,0,Reversal,Successful,0,Suryoday Small Finance Bank,Bharatiya Mahila Bank,ALLBANK,BHIM Allbank UPI(Allahabad Bank),HSBC,HSBC Simple Pay,33848,33848,0,Tamil Nadu,Goa,Personal Loan,Unsecured Personal Loan,LateNight
1575,2021,5,0,Reversal,Successful,0,NKGSB Co-operative Bank,Dhanlaxmi Bank,HDFCBANKJD,JustDial,TJSB,Tranzapp ?UPI(TJSB),87216,87216,0,Odisha,Kerala,Line of Credit,HELOC (Home Equity Line of Credit),LateNight
1576,2020,5,0,Reversal,Successful,0,Indian Bank,Canara Bank,OKSBI,Google Pay,HDFCBANK,HDFC Bank Mobilebanking,6034,6034,0,Tamil Nadu,Punjab,Debit Card,Standard Debit Card,LateNight
1582,2022,8,0,Reversal,Successful,0,ESAF Small Finance Bank,ICICI Bank,UNIONBANK,BHIM Union Bank UPI App,BARODAMPAY,BHIM Baroda PAY,33650,33650,0,Odisha,Tamil Nadu,Auto Loan,Used Car Loan,LateNight
1589,2022,8,0,Reversal,Successful,0,ESAF Small Finance Bank,ICICI Bank,UNIONBANK,BHIM Union Bank UPI App,BARODAMPAY,BHIM Baroda PAY,33650,33650,0,Odisha,Tamil Nadu,Auto Loan,Used Car Loan,LateNight
1602,2020,10,0,Reversal,Successful,0,Suryoday Small Finance Bank,Bharatiya Mahila Bank,ALLBANK,BHIM Allbank UPI(Allahabad Bank),HSBC,HSBC Simple Pay,33848,44002,-10154,Tamil Nadu,Goa,Personal Loan,Unsecured Personal Loan,LateNight
1607,2021,5,0,Reversal,Successful,0,NKGSB Co-operative Bank,Dhanlaxmi Bank,HDFCBANKJD,JustDial,TJSB,Tranzapp ?UPI(TJSB),87216,87216,0,Odisha,Kerala,Line of Credit,HELOC (Home Equity Line of Credit),LateNight
